question,options,answer,id,category,sub_category,created_at
In which year did the Super Eagles of Nigeria win their first Africa Cup of Nations (AFCON) title?,"['1980', '1994', '2013', '1992']",A,02905277-b017-4097-a4e3-c520b66e737f,Nigerian Sports,Super Eagles at AFCON ,2025-03-23 15:36:36+00:00
"Which Nollywood film, released in 2019, became a critical and commercial success, telling the story of a young woman navigating societal expectations and ambition?","['Lionheart', 'The Wedding Party 2', 'King of Boys', 'Merry Men 2']",A,5e1ca992-6da4-450c-a583-8abbb32a43e4,Nigerian Movies,Nollywood Blockbusters,2025-03-23 15:36:44+00:00
In which year did Nigeria first qualify for the FIFA World Cup?,"['1982', '1986', '1990', '1994']",D,3410970c-e4e3-4c4f-90c6-9880355e873d,Nigerian Sports,World Cup,2025-03-23 15:36:50+00:00
Ayinde Barrister is widely regarded as the pioneer of which genre of Nigerian music?,"['Jùjú', 'Highlife', 'Fuji', 'Afrobeats']",C,825095ba-513e-46f4-8474-b3eaa11f76a2,Nigerian Music,Fuji Music by Ayinde Barrister,2025-03-23 15:36:57+00:00
"Kollington Ayinla, a prominent figure in Fuji music, is often associated with which instrument as a key part of his performances?","['Talking Drum (Dundun)', 'Shekere', 'Gangan', 'Kora']",A,d48a34a0-0644-4b8a-a7b9-3ae82b7f6123,Nigerian Music,Fuji Music by Kollington Ayinla,2025-03-23 15:37:04+00:00
Wasiu Alabi Pasuma is a prominent figure in which genre of Nigerian music?,"['Jùjú', 'Highlife', 'Fuji', 'Afrobeats']",C,6d0c95a5-0087-4355-95c2-6a4780fc2a3d,Nigerian Music,Fuji Music by Wasiu Alabi Pasuma,2025-03-23 15:37:11+00:00
"Fela Kuti's music, Afrobeat, is characterized by a blend of West African musical styles and which other genre?","['Jazz', 'Blues', 'Reggae', 'Classical']",A,7a33aa5f-6501-45bd-a129-7910e97cf84d,Nigerian Music,Afrobeat by Fela Kuti,2025-03-23 15:37:18+00:00
Tony Allen is widely recognized as a pioneer of what rhythmic style within Afrobeat?,"['Highlife drumming', 'Jùjú percussion', 'Afrobeat drumming', 'Apala rhythms']",C,8ee698da-00ce-446e-8ae8-bceabc0d64c0,Nigerian Music,Afrobeat by Tony Allen,2025-03-23 15:37:25+00:00
Fela Kuti's Afrobeat heavily incorporated musical elements from which of the following cultures?,"['Highlife and Jazz', 'Jùjú and Calypso', 'Reggae and Salsa', 'Gospel and Blues']",A,a9a4aec5-d2c4-4a2f-a754-f3f795266fc8,Nigerian Music,Afrobeat Influence,2025-03-23 15:37:36+00:00
Fela Kuti's Afrobeat often featured a prominent horn section. What is a key characteristic of the horn arrangements in his music?,"['Simple, harmonized chords supporting the vocals', 'Complex, interlocking rhythmic patterns and call-and-response', 'Long, sustained melodic lines creating a smooth texture', 'Use of muted trumpets to create a melancholic mood']",B,2a94787b-97d3-4d12-a5c6-a753cf29b0c3,Nigerian Music,Afrobeat Horn Section,2025-03-23 15:37:51+00:00
Which country did Nigeria defeat in the semi-final of the 1996 Olympic football tournament?,"['Brazil', 'Argentina', 'Ghana', 'Portugal']",A,92bb2e96-0925-44e9-8548-1a64c5371246,Nigerian Sports,Super Eagles 1996 Olympics,2025-03-23 15:37:58+00:00
Which coach led the Super Eagles to their first Africa Cup of Nations title in 1980?,"['Otto Glória', 'Sunday Dankaro', 'Thompson Oluwa', 'Fred Osamudiamen']",A,a6bed067-ecff-4320-891a-2d4d214e18d7,Nigerian Sports,Super Eagles Coaches,2025-03-23 15:38:06+00:00
Which club has won the most Nigeria Professional Football League (NPFL) titles as of 2023?,"['Enyimba FC', 'Kano Pillars', 'Lobi Stars', 'Sunshine Stars']",A,4930c5be-0bf0-438f-97d8-6fd1263ad1c3,Nigerian Sports,Nigerian Football League (NPFL),2025-03-23 15:38:13+00:00
Which Nigerian basketball player was drafted 39th overall in the 2015 NBA draft by the Washington Wizards?,"['Al-Farouq Aminu', 'Michael Gbinije', 'Ekpe Udoh', 'Josh Okogie']",B,83f15dd3-27cf-4c36-90f9-1a15ae98ae7f,Nigerian Sports,Nigerian Basketball,2025-03-23 15:38:20+00:00
Which Nigerian athlete won a gold medal in the long jump at the 2000 Sydney Olympics?,"['Chidi Imoh', 'Sunday Uti', 'Yusuf Baba', 'Clarence Munyai']",A,66f20bc5-3928-4896-ae1d-d040f35ffd61,Nigerian Sports,Nigerian Athletics,2025-03-23 15:38:28+00:00
Which Nigerian boxer won a bronze medal at the 1988 Seoul Olympics?,"['David Izonritei', 'Obisia Nwakpa', 'Joe Onwudiwe', 'Peter Konyegwachie']",A,60d235ac-ab66-4b29-8e54-d9fbd8f6d208,Nigerian Sports,Nigerian Boxing,2025-03-23 15:38:35+00:00
Which Nollywood director is renowned for directing the critically acclaimed movie 'Lionheart'?,"['Kunle Afolayan', 'Genevieve Nnaji', 'Ramsey Nouah', 'Desmond Elliot']",B,191df12d-c2f9-486b-93c8-feaf5efccf04,Nigerian Movies,Nollywood Directors,2025-03-23 15:38:42+00:00
"Which Igbo epic film, released in 2014, is widely credited with revitalizing interest in Igbo culture and filmmaking?","['Isioma', 'Lionheart', 'Onye Ozi', 'Amina']",C,b040bde7-f5a3-4d93-9231-1d35ba352b12,Nigerian Movies,Igbo Epic Films,2025-03-23 15:38:50+00:00
Which Nollywood actor is renowned for his roles as a 'bad boy' or villain in numerous Nigerian films?,"['Ramsey Nouah', 'Richard Mofe-Damijo', 'Clem Ohameze', 'Emeka Ike']",C,6817a113-6b99-4574-934e-7b62b4fa50c0,Nigerian Movies,Nollywood Actors,2025-03-23 15:38:57+00:00
"During the 1990s 'Golden Age' of Nollywood, what was a common limitation regarding sound recording on film sets?","['Lack of access to digital audio workstations', 'Poor quality microphones and reliance on direct sound', 'Insufficient training for sound engineers', 'Limited availability of soundproof studios']",B,60e42a63-0495-4810-95e9-08f9ac971330,Nigerian Movies,Technical aspects of Nollywood film production in specific decades,2025-03-23 15:39:14+00:00
Which Nollywood film studio is renowned for producing the highly successful 'Living in Bondage' (1992) and is considered a pioneer in the industry?,"['Mainframe Films and Television Productions', 'Kenneth Nnebue Productions', 'Neemah Productions', 'Granville Film Corporation']",A,3a37f556-68ff-45bc-95bd-db3134606c11,Nigerian Movies,The history of specific Nollywood film studios,2025-03-23 15:39:35+00:00
